Year,Country_of_Asylum,IDPs,OOC
2018,Ukraine,1500002,0
2019,Ukraine,734000,1680000
2020,Ukraine,734000,1620000
2021,Ukraine,854000,1424800
2022,Ukraine,5914000,497343
2023,Ukraine,3689000,958361
2024,Ukraine,3665000,851644
2025,Ukraine,3757000,262730
